City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Praia,CV,14.9215,-23.5087,73.94,83,75,19.57,broken clouds
296,Howard,US,39.2504,-76.933,72.64,85,99,7.11,overcast clouds
297,Beroroha,MG,-21.6667,45.1667,84.06,33,27,3.78,scattered clouds
298,Abu Zabad,SD,12.35,29.25,88.56,40,90,12.15,overcast clouds
299,Portland,US,45.5234,-122.6762,59.09,81,100,4.14,overcast clouds
300,Nalut,LY,30.3333,10.85,85.14,23,0,11.88,clear sky
301,Matamoros,MX,25.5333,-103.25,76.51,40,24,13.29,few clouds
302,Biltine,TD,14.5333,20.9167,95.32,25,1,3.31,clear sky
303,Karonga,MW,-9.9333,33.9333,76.46,66,43,5.86,scattered clouds
304,Plettenberg Bay,ZA,-34.0527,23.3716,57.15,45,64,4.0,broken clouds
305,Barrow,US,71.2906,-156.7887,37.96,82,100,7.16,light rain
306,Wanning,CN,18.8003,110.3967,85.46,78,93,15.55,overcast clouds
307,Leca Da Palmeira,PT,41.191,-8.7003,70.21,79,75,5.75,broken clouds
308,Taywarah,AF,33.35,64.4167,78.84,9,0,11.16,clear sky
309,Poltavka,RU,54.3663,71.7632,72.14,44,56,11.54,broken clouds
310,Kidal,ML,18.4411,1.4078,92.84,30,51,8.08,broken clouds
311,Ostrovnoy,RU,68.0531,39.5131,44.17,87,100,21.56,overcast clouds
312,Daru,PG,-9.0763,143.2092,78.89,89,59,13.94,broken clouds
313,Magadan,RU,59.5667,150.8,47.53,92,100,4.03,overcast clouds
314,Bilma,NE,18.6853,12.9164,98.06,23,58,2.01,broken clouds
315,Fortuna,US,40.5982,-124.1573,56.66,87,100,1.12,overcast clouds
316,Nanortalik,GL,60.1432,-45.2371,37.83,87,0,5.75,clear sky
317,Clifton,US,40.8584,-74.1638,67.82,78,85,3.0,overcast clouds
318,Oksfjord,NO,70.2396,22.3479,48.38,66,100,5.61,overcast clouds
319,Chilca,PE,-12.5211,-76.7372,60.13,81,78,4.36,broken clouds
320,Broken Hill,AU,-31.95,141.4333,58.53,51,98,9.95,overcast clouds
321,Peruibe,BR,-24.32,-46.9983,58.55,91,3,2.95,clear sky
322,Champua,IN,22.0833,85.6667,95.58,37,95,6.06,moderate rain
323,Cuamba,MZ,-14.8031,36.5372,85.95,35,7,1.32,clear sky
324,Vila Velha,BR,-20.3297,-40.2925,62.94,90,75,3.44,broken clouds
325,Oranjemund,NA,-28.55,16.4333,65.62,33,3,18.95,clear sky
326,Ketchikan,US,55.3422,-131.6461,54.61,79,100,7.23,overcast clouds
327,Yumen,CN,40.2833,97.2,96.6,4,63,10.71,broken clouds
328,Stornoway,GB,58.2093,-6.3865,54.03,92,75,4.61,broken clouds
329,Sibolga,ID,1.7427,98.7792,85.35,64,87,3.91,overcast clouds
330,Nakusp,CA,50.2499,-117.8023,59.34,77,33,3.44,scattered clouds
331,Alice Springs,AU,-23.7,133.8833,67.55,32,5,8.05,clear sky
332,Kitimat,CA,54.0524,-128.6534,59.38,43,100,0.69,overcast clouds
333,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,78,27,5.03,scattered clouds
334,Pevek,RU,69.7008,170.3133,32.77,81,7,8.19,clear sky
335,Prieska,ZA,-29.6641,22.7474,49.48,36,56,10.42,broken clouds
336,Stokmarknes,NO,68.5646,14.9108,49.98,76,75,8.05,broken clouds
337,Palmer,US,42.1584,-72.3287,62.31,82,24,3.78,few clouds
338,San Rafael,AR,-34.6177,-68.3301,41.36,68,0,3.98,clear sky
339,Ilulissat,GL,69.2167,-51.1,37.36,59,29,6.33,scattered clouds
340,Nioro,GM,13.35,-15.75,81.64,65,75,8.99,broken clouds
341,Chakulia,IN,22.4833,86.7167,83.35,74,100,5.93,overcast clouds
342,Semey,KZ,50.4111,80.2275,66.42,72,75,6.71,broken clouds
343,Mnogovershinnyy,RU,53.9353,139.9242,46.44,91,100,2.8,overcast clouds
344,Chekhov,RU,55.1431,37.4711,69.69,43,37,7.92,scattered clouds
345,Anadyr,RU,64.75,177.4833,55.9,67,0,2.24,light rain
346,Palauig,PH,15.435,119.9045,85.23,72,99,4.79,overcast clouds
347,Broome,US,42.2506,-75.833,68.02,88,100,9.22,heavy intensity rain
348,Meulaboh,ID,4.1363,96.1285,84.92,63,100,5.7,overcast clouds
